iter	Passed	Remaining
1143	8508	65867
1144	8515	65858
1145	8523	65853
1146	8529	65837
1147	8537	65831
1148	8544	65816
1149	8547	65781
1150	8554	65766
1151	8561	65753
1152	8568	65746
1153	8572	65714
1154	8579	65699
1155	8587	65696
1156	8595	65697
1157	8603	65694
1158	8610	65684
1159	8617	65672
1160	8624	65657
1161	8631	65650
1162	8636	65626
1163	8643	65613
1164	8650	65599
1165	8658	65597
1166	8665	65590
1167	8673	65585
1168	8680	65577
1169	8688	65569
1170	8695	65561
1171	8703	65557
1172	8705	65511
1173	8712	65498
1174	8719	65488
1175	8726	65477
1176	8733	65466
1177	8740	65459
1178	8748	65453
1179	8755	65440
1180	8761	65428
1181	8768	65416
1182	8775	65403
1183	8782	65394
1184	8789	65387
1185	8797	65379
1186	8805	65374
1187	8812	65367
1188	8820	65360
1189	8827	65349
1190	8833	65335
1191	8840	65324
1192	8848	65320
1193	8853	65292
1194	8859	65281
1195	8867	65277
1196	8874	65265
1197	8882	65262
1198	8891	65262
1199	8898	65254
1200	8905	65248
1201	8912	65236
1202	8918	65216
1203	8924	65202
1204	8932	65197
1205	8940	65190
1206	8947	65182
1207	8954	65170
1208	8961	65160
1209	8967	65147
1210	8975	65139
1211	8981	65124
1212	8989	65117
1213	8996	65109
1214	9003	65100
1215	9010	65090
1216	9018	65085
1217	9025	65072
1218	9032	65064
1219	9039	65054
1220	9046	65042
1221	9053	65031
1222	9060	65020
1223	9067	65009
1224	9074	65001
1225	9082	64998
1226	9089	64991
1227	9092	64952
1228	9099	64942
1229	9106	64933
1230	9114	64925
1231	9121	64918
1232	9129	64911
1233	9136	64901
1234	9143	64890
1235	9150	64884
1236	9158	64876
1237	9165	64870
1238	9172	64861
1239	9180	64855
1240	9183	64819
1241	9191	64810
1242	9199	64810
1243	9207	64805
1244	9215	64801
1245	9222	64796
1246	9228	64776
1247	9236	64770
1248	9244	64770
1249	9251	64762
1250	9260	64767
1251	9269	64767
1252	9276	64755
1253	9282	64741
1254	9288	64726
1255	9295	64713
1256	9301	64699
1257	9308	64687
1258	9315	64677
1259	9322	64665
1260	9329	64655
1261	9336	64647
1262	9343	64635
1263	9350	64621
1264	9356	64611
1265	9363	64597
1266	9370	64588
1267	9377	64577
1268	9385	64571
1269	9391	64559
1270	9400	64557
1271	9409	64561
1272	9416	64554
1273	9424	64554
1274	9432	64550
1275	9440	64545
1276	9447	64537
1277	9455	64532
1278	9462	64522
1279	9469	64514
1280	9476	64501
1281	9483	64489
1282	9489	64475
1283	9496	64462
1284	9503	64453
1285	9510	64442
1286	9518	64439
1287	9524	64425
1288	9531	64411
1289	9538	64400
1290	9545	64391
1291	9553	64386
1292	9559	64375
1293	9566	64361
1294	9572	64349
1295	9580	64340
1296	9587	64330
1297	9593	64313
1298	9599	64301
1299	9606	64291
1300	9613	64280
1301	9620	64270
1302	9627	64261
1303	9634	64250
1304	9641	64237
1305	9647	64222
1306	9655	64221
1307	9663	64216
1308	9670	64203
1309	9676	64193
1310	9684	64184
1311	9691	64174
1312	9698	64164
1313	9701	64129
1314	9707	64114
1315	9713	64094
1316	9719	64081
1317	9726	64071
1318	9730	64040
1319	9736	64024
1320	9743	64012
1321	9750	64004
1322	9757	63993
1323	9763	63982
1324	9770	63969
1325	9777	63958
1326	9784	63947
1327	9790	63936
1328	9797	63923
1329	9804	63914
1330	9811	63905
1331	9818	63892
1332	9824	63880
1333	9832	63871
1334	9838	63860
1335	9845	63851
1336	9852	63837
1337	9858	63822
1338	9864	63807
1339	9871	63795
1340	9878	63789
1341	9885	63779
1342	9892	63765
1343	9899	63756
1344	9906	63747
1345	9913	63737
1346	9919	63724
1347	9927	63716
1348	9933	63702
1349	9940	63693
1350	9947	63681
1351	9954	63673
1352	9961	63664
1353	9968	63653
1354	9976	63649
1355	9983	63641
1356	9991	63635
1357	9999	63631
1358	10006	63626
1359	10013	63613
1360	10017	63585
1361	10024	63574
1362	10030	63562
1363	10037	63550
1364	10045	63544
1365	10052	63538
1366	10060	63536
1367	10068	63529
1368	10076	63526
1369	10083	63520
1370	10091	63517
1371	10098	63504
1372	10104	63492
1373	10112	63483
1374	10118	63470
1375	10125	63459
1376	10131	63445
1377	10138	63435
1378	10145	63424
1379	10152	63414
1380	10159	63404
1381	10165	63393
1382	10172	63381
1383	10179	63370
1384	10186	63361
1385	10192	63346
1386	10198	63332
1387	10205	63323
1388	10212	63313
1389	10219	63301
1390	10225	63289
1391	10232	63274
1392	10238	63259
1393	10245	63251
1394	10251	63236
1395	10258	63224
1396	10264	63209
1397	10271	63201
1398	10277	63186
1399	10284	63173
1400	10291	63163
1401	10297	63153
1402	10305	63146
1403	10312	63137
1404	10321	63138
1405	10327	63126
1406	10334	63117
1407	10343	63116
1408	10350	63109
1409	10359	63109
1410	10366	63101
1411	10373	63093
1412	10381	63092
1413	10390	63093
1414	10398	63090
1415	10406	63087
1416	10414	63084
1417	10421	63072
1418	10428	63062
1419	10434	63047
1420	10440	63030
1421	10446	63019
1422	10453	63009
1423	10461	63004
1424	10468	62992
1425	10475	62982
1426	10482	62976
1427	10490	62974
1428	10498	62969
1429	10506	62964
1430	10513	62957
1431	10521	62950
1432	10527	62940
1433	10534	62928
1434	10541	62920
1435	10549	62912
1436	10556	62903
1437	10562	62893
1438	10569	62880
1439	10576	62870
1440	10583	62861
1441	10590	62852
1442	10597	62842
1443	10605	62837
1444	10612	62828
1445	10619	62822
1446	10627	62817
1447	10634	62810
1448	10642	62802
1449	10649	62794
1450	10656	62785
1451	10663	62777
1452	10670	62767
1453	10677	62756
1454	10683	62744
1455	10690	62736
1456	10697	62725
1457	10705	62719
1458	10713	62717
1459	10720	62707
1460	10726	62693
1461	10734	62688
1462	10741	62681
1463	10749	62675
1464	10757	62672
1465	10764	62660
1466	10770	62650
1467	10777	62638
1468	10784	62631
1469	10789	62609
1470	10796	62600
1471	10803	62592
1472	10811	62585
1473	10819	62581
1474	10826	62571
1475	10833	62564
1476	10840	62553
1477	10847	62544
1478	10854	62534
1479	10861	62526
1480	10868	62517
1481	10876	62514
1482	10884	62508
1483	10891	62503
1484	10899	62498
1485	10906	62486
1486	10913	62476
1487	10919	62466
1488	10926	62455
1489	10933	62444
1490	10940	62436
1491	10947	62425
1492	10954	62415
1493	10960	62404
1494	10967	62393
1495	10973	62380
1496	10980	62369
1497	10986	62354
1498	10993	62343
1499	11000	62333
1500	11007	62324
1501	11013	62314
1502	11020	62301
1503	11027	62291
1504	11034	62282
1505	11041	62276
1506	11048	62267
1507	11056	62263
1508	11063	62255
1509	11071	62249
1510	11078	62240
1511	11085	62232
1512	11093	62227
1513	11100	62220
1514	11108	62214
1515	11115	62204
1516	11121	62190
1517	11129	62187
1518	11137	62183
1519	11144	62176
1520	11153	62174
1521	11160	62168
1522	11168	62163
1523	11175	62152
1524	11183	62150
1525	11190	62141
1526	11197	62133
1527	11204	62121
1528	11212	62119
1529	11219	62112
1530	11227	62106
1531	11235	62103
1532	11242	62095
1533	11250	62091
1534	11257	62081
1535	11264	62071
1536	11272	62067
1537	11280	62062
1538	11286	62049
1539	11293	62041
1540	11302	62043
1541	11309	62035
1542	11317	62032
1543	11325	62028
1544	11333	62022
1545	11342	62022
1546	11349	62017
1547	11356	62006
1548	11359	61975
1549	11366	61964
1550	11373	61956
1551	11380	61948
1552	11387	61937
1553	11394	61929
1554	11402	61926
1555	11410	61919
1556	11417	61911
1557	11424	61901
1558	11431	61892
1559	11438	61886
1560	11445	61875
1561	11452	61868
1562	11460	61864
1563	11464	61839
1564	11472	61834
1565	11481	61836
1566	11489	61829
1567	11495	61818
1568	11504	61817
1569	11512	61813
1570	11519	61804
1571	11526	61797
1572	11534	61791
1573	11541	61785
1574	11549	61778
1575	11555	61767
1576	11562	61758
1577	11570	61751
1578	11577	61741
1579	11583	61732
1580	11590	61722
1581	11597	61713
1582	11604	61704
1583	11614	61708
1584	11621	61700
1585	11628	61692
1586	11635	61683
1587	11643	61676
1588	11650	61667
1589	11657	61659
1590	11664	61653
1591	11674	61656
1592	11682	61653
1593	11689	61646
1594	11697	61641
1595	11705	61635
1596	11712	61630
1597	11720	61625
1598	11728	61617
1599	11736	61615
1600	11743	61605
1601	11750	61598
1602	11756	61585
1603	11763	61575
1604	11770	61565
1605	11777	61558
1606	11784	61548
1607	11791	61540
1608	11799	61532
1609	11805	61519
1610	11812	61510
1611	11818	61498
1612	11825	61488
1613	11832	61480
1614	11839	61472
1615	11847	61466
1616	11854	61459
1617	11862	61453
1618	11870	61451
1619	11878	61446
1620	11886	61440
1621	11894	61436
1622	11901	61428
1623	11908	61419
1624	11915	61411
1625	11923	61407
1626	11932	61410
1627	11941	61409
1628	11948	61398
1629	11955	61392
1630	11964	61390
1631	11971	61382
1632	11978	61376
1633	11987	61375
1634	11994	61366
1635	12001	61358
1636	12010	61356
1637	12017	61349
1638	12025	61344
1639	12031	61332
1640	12038	61322
1641	12047	61321
1642	12054	61314
1643	12061	61305
1644	12069	61302
1645	12076	61294
1646	12084	61287
1647	12091	61278
1648	12100	61278
1649	12107	61269
1650	12113	61259
1651	12121	61254
1652	12129	61249
1653	12137	61245
1654	12145	61240
1655	12153	61238
1656	12160	61229
1657	12168	61223
1658	12172	61199
1659	12179	61190
1660	12186	61184
1661	12196	61185
1662	12204	61185
1663	12213	61183
1664	12221	61181
1665	12230	61184
1666	12238	61177
1667	12246	61173
1668	12254	61170
1669	12267	61191
1670	12276	61189
1671	12284	61186
1672	12293	61186
1673	12301	61182
